[776, 373, 421];[61.84, 50.13, 40.55]
[732, 949, 35];[50.74, 64.34, 80.21]
[783, 65, 421];[76.94, 61.37, 37.48]
[765, 776, 35];[79.79, 57.05, 75.9]
[387, 291, 773];[49.34, 61.75, 49.22]
[454, 766, 472];[14.75, 60.46, 79.86]
[158, 66, 892];[76.38, 35.65, 60.99]
[131, 794, 790];[21.72, 125.71, 1.34]
[859, 751, 435];[-0.25, 63.21, 42.38]
[227, 140, 77];[89.76, 56.37, 70.65]
[800, 149, 796];[51.37, 46.2, 49.87]
[165, 976, 135];[75.61, 23.03, 33.75]
[843, 179, 768];[67.57, 49.35, 13.4]
[604, 274, 570];[7.71, 63.11, 39.56]
[276, 861, 971];[41.15, 48.91, 90.34]
[826, 642, 338];[2.86, 32.29, 38.93]
[841, 604, 835];[62.98, 7.68, 55.38]
[929, 775, 279];[33.93, 62.27, 78.93]
[780, 921, 17];[87.07, 86.61, 40.33]
[778, 907, 358];[-2.68, 62.12, 51.46]
[752, 790, 179];[55.83, 9.35, 51.03]
[801, 27, 971];[3.48, -2.43, 97.1]
[448, 133, 873];[83.16, 13.66, 68.25]
[235, 920, 365];[41.94, 49.85, 34.0]
[329, 159, 316];[50.21, 88.23, 49.72]
[786, 760, 928];[43.15, 26.8, 44.07]
[799, 101, 787];[71.58, 9.77, 54.43]
[372, 760, 471];[58.8, 28.37, 19.72]
[341, 359, 30];[43.53, 43.98, 21.74]
[728, 373, 337];[71.02, 52.45, 53.61]
[274, 947, 291];[52.87, 54.24, 55.12]
[431, 577, 871];[51.12, 56.36, 21.32]
[341, 426, 889];[45.25, 25.9, 56.21]
[922, 124, 695];[73.12, 65.16, 34.79]
[560, 752, 792];[51.0, 60.58, 63.96]
[865, 964, 139];[57.26, 59.7, 69.9]
[914, 442, 805];[41.93, 49.66, 48.89]
[876, 369, 733];[61.97, 41.54, 64.45]
[758, 958, 788];[44.84, 65.94, 40.99]
[533, 644, 331];[80.96, 67.38, 63.05]
[931, 882, 771];[67.24, 38.03, 57.18]
[113, 469, 36];[64.65, 14.88, 52.16]
[413, 752, 40];[76.68, 61.21, 70.62]
[472, 291, 893];[69.34, 37.65, 73.21]
[790, 925, 890];[1.78, 52.0, 65.52]
[60, 948, 360];[53.45, 56.52, 77.8]
[145, 216, 235];[49.99, 63.1, 68.96]
[223, 142, 427];[75.31, 14.04, 59.44]
[925, 779, 343];[51.06, 39.59, 54.98]
