[842, 861, 603];[39.07, 86.34, 56.58]
[881, 454, 791];[68.57, 13.5, 45.63]
[946, 35, 30];[98.39, 89.68, 39.38]
[727, 865, 327];[92.99, 56.06, 32.81]
[469, 971, 914];[28.0, 70.02, 47.95]
[254, 949, 464];[60.58, 58.26, 49.87]
[11, 251, 950];[98.3, 66.44, 37.67]
[116, 362, 240];[42.48, 57.94, 55.82]
[893, 751, 254];[72.9, 56.54, 60.07]
[931, 965, 787];[67.49, 67.7, 53.07]
[106, 964, 560];[43.64, 49.16, 38.5]
[27, 843, 733];[44.66, 66.46, 69.75]
[442, 445, 762];[32.09, 60.03, 74.81]
[642, 559, 727];[27.66, 64.8, 88.04]
[22, 34, 476];[63.2, 91.48, 60.79]
[472, 18, 464];[70.49, 60.37, 40.52]
[835, 459, 445];[64.32, 46.66, 61.33]
[65, 884, 67];[46.28, 60.63, 37.01]
[957, 762, 329];[88.25, 75.54, 71.9]
[140, 877, 139];[24.24, 31.83, 69.7]
[866, 893, 427];[65.82, 72.51, 55.71]
[972, 425, 841];[78.14, 65.63, 63.43]
[47, 947, 252];[73.48, 93.2, 73.42]
[7, 372, 884];[49.37, 69.23, 58.94]
[789, 788, 733];[69.32, 33.02, 58.68]
[216, 8, 881];[46.86, 69.83, 70.7]
[110, 133, 463];[74.37, 10.21, 37.49]
[554, 754, 765];[66.9, 35.58, 72.75]
[859, 118, 564];[3.87, 18.29, 94.13]
[116, 73, 914];[37.8, 66.23, 59.44]
[53, 762, 890];[40.86, 80.72, 58.01]
[890, 920, 836];[50.02, 45.54, 52.97]
[105, 40, 469];[78.7, 51.5, 0.56]
[835, 448, 560];[49.51, 65.44, 43.28]
[826, 99, 858];[27.83, 34.0, 50.01]
[843, 451, 476];[60.01, 20.1, 50.12]
[841, 798, 797];[69.38, 77.61, 80.01]
[22, 437, 948];[65.03, 53.4, 93.73]
[554, 787, 23];[72.0, 55.21, 54.44]
[755, 100, 418];[56.78, 12.54, 67.98]
[104, 402, 158];[50.4, 25.29, 62.62]
[172, 923, 947];[59.74, 11.16, 79.91]
[778, 365, 872];[35.92, 35.98, 39.27]
[877, 765, 839];[40.27, 67.75, 24.88]
[256, 27, 918];[71.28, 77.72, 28.28]
[551, 342, 201];[77.28, 71.55, 55.47]
[928, 235, 363];[41.86, 48.91, 68.55]
[840, 374, 865];[25.45, 67.86, 54.06]
[341, 564, 158];[45.78, 98.19, 51.29]
