[8, 563, 372];[77.06, 84.15, 71.81]
[769, 244, 799];[65.87, 50.86, 73.43]
[30, 799, 178];[40.4, 69.9, 75.26]
[448, 762, 867];[67.55, 69.17, 27.02]
[261, 77, 839];[69.52, 73.91, 15.78]
[874, 369, 101];[47.34, 60.4, 4.69]
[431, 163, 563];[39.45, 74.23, 75.12]
[133, 833, 303];[20.26, 74.34, 42.43]
[645, 2, 732];[62.69, 77.67, 53.22]
[110, 402, 32];[70.69, 17.43, 98.91]
[65, 869, 147];[30.69, 48.68, 40.24]
[163, 8, 858];[71.37, 70.48, 58.19]
[341, 730, 412];[41.9, 41.59, 74.24]
[109, 67, 917];[84.58, 30.84, 17.38]
[156, 730, 928];[79.86, 40.56, 36.25]
[787, 869, 256];[52.05, 46.33, 74.05]
[563, 878, 341];[75.92, 54.82, 43.74]
[733, 351, 425];[75.27, 68.44, 73.72]
[341, 133, 965];[43.04, 13.15, 69.09]
[842, 791, 207];[35.13, 36.45, 15.21]
[798, 207, 216];[70.28, 15.71, 47.26]
[53, 881, 159];[38.56, 56.93, 77.46]
[159, 212, 749];[79.17, 38.3, 66.05]
[374, 797, 931];[90.19, 66.17, 57.69]
[768, 125, 451];[9.2, 54.93, 20.7]
[8, 139, 464];[77.94, 71.05, 45.57]
[94, 215, 343];[80.89, 51.94, 58.21]
[163, 6, 469];[67.69, 102.27, 16.73]
[788, 227, 256];[34.37, 76.35, 73.9]
[91, 794, 760];[74.75, 123.67, 48.36]
[91, 156, 312];[70.15, 84.86, 71.87]
[860, 840, 564];[54.57, 21.73, 100.99]
[26, 90, 787];[8.42, 56.33, 70.71]
[396, 995, 37];[53.89, 53.32, 59.88]
[711, 77, 216];[46.18, 71.03, 49.5]
[135, 733, 834];[29.75, 46.61, 45.36]
[165, 90, 273];[70.49, 57.07, 62.87]
[427, 160, 836];[61.68, 79.98, 57.7]
[124, 140, 782];[71.05, 33.45, 53.48]
[363, 331, 878];[96.18, 38.45, 55.4]
[172, 286, 603];[77.28, 2.25, 72.61]
[918, 564, 760];[27.69, 56.12, 47.66]
[252, 964, 752];[68.49, 58.1, 63.51]
[244, 253, 914];[42.99, 61.91, 62.61]
[876, 436, 431];[55.2, 73.01, 41.86]
[732, 362, 140];[51.43, 58.02, 21.99]
[133, 803, 201];[11.85, 43.75, 65.0]
[783, 805, 567];[77.28, 31.48, 71.07]
[301, 970, 142];[64.18, 30.44, 19.17]
[778, 436, 32];[33.81, 66.21, 99.3]
[83, 18, 831];[44.02, 56.06, 65.47]
[874, 58, 554];[45.11, 78.51, 67.33]
[138, 2, 37];[21.47, 67.82, 66.92]
[337, 858, 928];[62.35, 53.29, 44.05]
[26, 461, 471];[10.4, 88.08, 15.33]
[451, 896, 156];[19.72, 47.0, 93.19]
[139, 896, 870];[72.73, 45.97, 75.35]
[732, 773, 124];[49.16, 42.59, 60.96]
[964, 800, 329];[58.48, 44.45, 74.79]
[894, 971, 58];[55.26, 68.4, 76.58]
[425, 6, 928];[74.92, 124.92, 39.04]
[48, 84, 291];[64.19, -7.66, 59.55]
[20, 40, 794];[51.83, 80.27, 135.53]
[475, 219, 337];[1.82, 16.31, 63.72]
